file,arch,label,build target (valid if label is build_dir)
drivers/crypto/vmx/aes.c,x86_64,cant_build,
drivers/crypto/vmx/aes.c,arm,cant_build,
drivers/crypto/vmx/ghash.c,x86_64,cant_build,
drivers/crypto/vmx/ghash.c,arm,cant_build,
drivers/crypto/vmx/vmx.c,x86_64,cant_build,
drivers/crypto/vmx/vmx.c,arm,cant_build,
drivers/devfreq/imx8m-ddrc.c,x86_64,cant_build,
drivers/devfreq/rk3399_dmc.c,x86_64,cant_build,
drivers/dma/at_xdmac.c,x86_64,cant_build,
drivers/dma/dw-edma/dw-edma-v0-core.c,x86_64,compiler_error,
drivers/dma/fsl-dpaa2-qdma/dpaa2-qdma.c,x86_64,cant_build,
drivers/dma/fsl-dpaa2-qdma/dpaa2-qdma.c,arm,cant_build,
drivers/dma/idxd/cdev.c,arm,cant_build,
drivers/dma/idxd/device.c,arm,cant_build,
drivers/dma/idxd/dma.c,arm,cant_build,
drivers/dma/idxd/init.c,arm,cant_build,
drivers/dma/idxd/irq.c,arm,cant_build,
drivers/dma/idxd/perfmon.c,arm,cant_build,
drivers/dma/idxd/submit.c,arm,cant_build,
drivers/dma/idxd/sysfs.c,arm,cant_build,
drivers/dma/ipu/ipu_irq.c,x86_64,cant_build,
drivers/dma/pl330.c,x86_64,cant_build,
drivers/dma/qcom/gpi.c,x86_64,cant_build,
drivers/dma/ste_dma40.c,x86_64,cant_build,
drivers/dma/xilinx/xilinx_dma.c,x86_64,cant_build,
drivers/dma/xilinx/zynqmp_dma.c,x86_64,cant_build,
drivers/edac/altera_edac.c,x86_64,cant_build,
drivers/edac/amd64_edac.c,arm,cant_build,
drivers/extcon/extcon-intel-int3496.c,arm,cant_build,
drivers/firmware/efi/cper.c,arm,cant_build,
drivers/firmware/efi/fdtparams.c,x86_64,cant_build,
drivers/firmware/efi/libstub/file.c,x86_64,builds,
drivers/firmware/efi/libstub/file.c,arm,builds,
drivers/firmware/google/gsmi.c,arm,cant_build,
drivers/firmware/psci/psci.c,x86_64,cant_build,
drivers/firmware/qcom_scm-legacy.c,x86_64,cant_build,
drivers/firmware/qcom_scm-smc.c,x86_64,cant_build,
drivers/firmware/qcom_scm.c,x86_64,cant_build,
drivers/firmware/raspberrypi.c,x86_64,cant_build,
drivers/firmware/smccc/kvm_guest.c,x86_64,cant_build,
drivers/firmware/smccc/smccc.c,x86_64,cant_build,
drivers/firmware/xilinx/zynqmp.c,x86_64,cant_build,
drivers/firmware/xilinx/zynqmp.c,arm,cant_build,
drivers/gpio/gpio-104-dio-48e.c,arm,cant_build,
drivers/gpio/gpio-ich.c,arm,cant_build,
drivers/gpio/gpio-it87.c,arm,cant_build,
drivers/gpio/gpio-omap.c,x86_64,cant_build,
drivers/gpio/gpio-realtek-otto.c,x86_64,cant_build,
drivers/gpio/gpio-realtek-otto.c,arm,cant_build,
drivers/gpio/gpio-sch.c,arm,cant_build,
drivers/gpio/gpiolib-acpi.c,arm,cant_build,
drivers/gpu/drm/amd/amdgpu/amdgpu_acpi.c,arm,cant_build,
drivers/gpu/drm/amd/amdgpu/amdgpu_amdkfd_aldebaran.c,arm,cant_build,
